commodity,n_markets,mean_modal,std_modal,min_modal,max_modal,price_gap,price_gap_ratio,cv,norm_cv,norm_price_gap_ratio,integration_score,integration_rank,integration_level
Sunflower,5,4849.0,987.1701980914943,3420.0,5725.0,2305.0,0.4753557434522582,0.20358222274520402,0.10384927724509933,0.017728188626787836,0.8916013654238534,74,Moderately Integrated
Groundnut,95,5482.108910891089,980.0224681198905,3450.0,8000.0,4550.0,0.8299725660248549,0.17876742035768728,0.09119100454243385,0.030953470970369212,0.8911508471696705,75,Moderately Integrated
Mahua,2,2600.0,565.685424949238,2200.0,3000.0,800.0,0.3076923076923077,0.21757131728816848,0.1109852507992266,0.01147525268163447,0.8908999442732293,76,Moderately Integrated
Ajwan,3,11550.0,2456.114818163027,8900.0,13750.0,4850.0,0.4199134199134199,0.21265063360718847,0.10847516206490185,0.01566049094322626,0.8895723548346255,77,Moderately Integrated
Corriander seed,23,6445.833333333333,1116.7097114783883,4575.0,11000.0,6425.0,0.9967679379444085,0.17324520410783012,0.08837406817831647,0.03717403284680746,0.8884560323003721,78,Moderately Integrated
Black pepper,12,61192.307692307695,11630.667904184864,36000.0,90000.0,54000.0,0.8824638592080453,0.19006748303507634,0.09695527671731766,0.032911111242173524,0.8850604024126901,79,Moderately Integrated
Tapioca,107,3266.822429906542,615.7884930488702,1800.0,5000.0,3200.0,0.9795451294521528,0.18849769348084428,0.09615451175643039,0.03653171558896535,0.8828570312394776,80,Moderately Integrated
Green Gram (Moong)(Whole),58,7686.610169491525,1498.026264869754,5560.0,13300.0,7740.0,1.0069458225838461,0.19488776350535927,0.09941414879468986,0.037553612690314195,0.8795324140887608,81,Moderately Integrated
Rice,146,3453.135802469136,629.1758832013089,2100.0,6250.0,4150.0,1.201806195120556,0.18220421066307962,0.0929441447942949,0.044820846730926754,0.8789161271867383,82,Moderately Integrated
buttery,3,5500.0,1322.8756555322952,4500.0,7000.0,2500.0,0.45454545454545453,0.24052284646041733,0.12269304966332956,0.01695207782514183,0.8774661303591771,83,Moderately Integrated
Mataki,2,8279.5,2079.6010434696364,6809.0,9750.0,2941.0,0.3552146868772269,0.25117471386794327,0.12812667110957274,0.0132475794364675,0.8761368144774547,84,Moderately Integrated
Maize,165,2379.4210526315787,486.47754125181854,1400.0,4000.0,2600.0,1.092702780419828,0.20445206228371682,0.10429299087674988,0.04075188166153673,0.8733282196908517,85,Moderately Integrated
Kinnow,3,2000.0,500.0,1500.0,2500.0,1000.0,0.5,0.25,0.12752743810921208,0.018647285607656012,0.872467329201916,86,Moderately Integrated
Black Gram (Urd Beans)(Whole),74,7611.554054054054,1632.348246670421,4296.0,13800.0,9504.0,1.2486280636656577,0.2144566319936994,0.10939641945474629,0.046567048241816025,0.865079241641309,87,Moderately Integrated
Chow Chow,125,3187.2,707.6740638494259,1200.0,5000.0,3800.0,1.192269076305221,0.2220362901133992,0.1132628769817423,0.044465163974079354,0.8637607146272442,88,Moderately Integrated
Elephant Yam (Suran),115,7138.278260869565,1502.536752902074,52.0,10000.0,9948.0,1.3936133667599786,0.21049007869847866,0.10737304193529366,0.05197421295324078,0.8625543345907565,89,Moderately Integrated
Jasmine,23,40652.17391304348,9938.944043290121,25000.0,63000.0,38000.0,0.93475935828877,0.24448739357825966,0.12471540381213633,0.0348614494568799,0.8623835472231566,90,Moderately Integrated
Tube Rose(Loose),9,7111.111111111111,1900.29237516523,5000.0,10000.0,5000.0,0.703125,0.26722861525761044,0.13631592277310145,0.02622274538576627,0.8601864414400229,91,Moderately Integrated
White Peas,19,4770.526315789473,1174.7421640712414,3550.0,8880.0,5330.0,1.117277140335393,0.2462500123273785,0.12561453282588989,0.041668371877478474,0.8566903498463566,92,Moderately Integrated
Thondekai,82,3611.609756097561,879.927406603123,1600.0,6000.0,4400.0,1.2182933088414059,0.24363856175698995,0.12428240642192792,0.04543572656772393,0.8549068119890784,93,Moderately Integrated
Firewood,3,353.3333333333333,106.80979980008077,230.0,415.0,185.0,0.5235849056603774,0.3022918862266437,0.15420203924674114,0.019526874551413373,0.8519854868054902,94,Moderately Integrated
Amla(Nelli Kai),80,6676.25,1543.5651442133494,2000.0,12000.0,10000.0,1.4978468451600824,0.2312024181559033,0.11793860828830852,0.055861555836453136,0.8519337708098252,95,Moderately Integrated
Long Melon(Kakri),2,4100.0,1272.7922061357856,3200.0,5000.0,1800.0,0.43902439024390244,0.3104371234477526,0.1583570041891404,0.016373226387210157,0.851259271253602,96,Moderately Integrated
Onion Green,168,4771.0297619047615,1136.3024151825266,8.0,7000.0,6992.0,1.4655117131796196,0.2381671194456928,0.12149137033903963,0.05465563095405125,0.8502338558875465,97,Moderately Integrated
Kartali (Kantola),4,7362.5,2189.130344832547,4250.0,9200.0,4950.0,0.6723259762308998,0.297335191148733,0.15167358074764317,0.025074109000447473,0.8497998413016409,98,Moderately Integrated
Sweet Potato,50,4840.0,1258.2787076488453,1200.0,7000.0,5800.0,1.1983471074380165,0.25997493959686885,0.13261575207754336,0.04469184153901028,0.849395693548629,99,Moderately Integrated
Green Gram Dal (Moong Dal),29,9334.827586206897,2432.5054407363255,2100.0,13500.0,11400.0,1.2212330538214324,0.26058386384453264,0.13292637027477194,0.04554536309623639,0.8485566277771538,100,Moderately Integrated
Tamarind Fruit,30,10267.0,2742.962342758847,1510.0,14000.0,12490.0,1.2165189441901236,0.2671629826394124,0.13628244293448066,0.04536955239887476,0.8462728484776013,101,Moderately Integrated
Jack Fruit,7,2335.714285714286,687.2131436184154,1500.0,3500.0,2000.0,0.8562691131498471,0.29421969451552954,0.1500843355313619,0.03193418941983904,0.8460104295246003,102,Moderately Integrated
Chikoos(Sapota),43,4162.790697674419,1088.527457888901,2200.0,8000.0,5800.0,1.3932960893854747,0.261489836252641,0.1333885156355867,0.05196238022960233,0.8436320447289145,103,Moderately Integrated
Turnip,17,4829.411764705882,1455.920973938126,2800.0,7000.0,4200.0,0.8696711327649209,0.3014696291954707,0.15378259791613003,0.03243401199480242,0.8430163527006129,104,Moderately Integrated
Jowar(Sorghum),39,2782.7948717948716,758.1894007050156,1800.0,5400.0,3600.0,1.2936634447935575,0.27245608664500376,0.13898250690839536,0.048246623470499204,0.8422973918108445,105,Moderately Integrated
Yam (Ratalu),73,7975.342465753424,2181.3464764985697,3400.0,14000.0,10600.0,1.3290965304019238,0.2735113239168595,0.13952079373190382,0.049568085205098665,0.8409800290908108,106,Moderately Integrated
White Pumpkin,3,1127.6666666666667,372.6879838864319,700.0,1383.0,683.0,0.6056754360035471,0.3304948127872585,0.16858862713257097,0.02258840568139945,0.8395057765995165,107,Moderately Integrated
Methi Seeds,7,5317.857142857143,1695.739408888389,3005.0,8350.0,5345.0,1.0051040967092009,0.3188764502946601,0.16266198711775004,0.037484926313523154,0.8332313226061263,108,Moderately Integrated
Kabuli Chana(Chickpeas-White),10,10815.9,3565.1144114413305,5200.0,15800.0,10600.0,0.9800386468070156,0.3296179154246369,0.16814131323601153,0.03655012110710227,0.8300880802271774,109,Moderately Integrated
Papaya,208,3254.4158653846152,870.5556870412291,40.0,6000.0,5960.0,1.831357837021739,0.26749982886355694,0.13645427147848832,0.06829970527352704,0.8300449878538467,110,Moderately Integrated
Pegeon Pea (Arhar Fali),2,6750.0,2474.8737341529163,5000.0,8500.0,3500.0,0.5185185185185185,0.36664796061524685,0.18703070042091888,0.019337925815346973,0.8289340241878532,111,Moderately Integrated
Guava,127,5469.291338582677,1625.7116542308975,1850.0,10000.0,8150.0,1.4901382090411748,0.2972435647672387,0.1516268412368624,0.05557406555774361,0.828362532178035,112,Moderately Integrated
Dry Chillies,2,12100.0,4259.890452425587,8200.0,17200.0,9000.0,0.743801652892562,0.3520570621839328,0.17958774083429008,0.027739763713868448,0.8282756718726865,113,Moderately Integrated
Cowpea (Lobia/Karamani),7,6585.714285714285,2196.5340663786446,3700.0,10500.0,6800.0,1.032537960954447,0.3335301185390567,0.17013696619819088,0.03850806051732869,0.8273727834858923,114,Moderately Integrated
Tube Flower,6,44833.333333333336,15105.186747162932,24000.0,70000.0,46000.0,1.0260223048327137,0.3369186635054929,0.17186549603214077,0.03826506191608223,0.8263571177770277,115,Moderately Integrated
Grapes,37,10096.052631578947,3174.05831063596,2500.0,16100.0,13600.0,1.3470611234197838,0.31438607012685127,0.16037140040200173,0.050238066998757346,0.8260302161249832,116,Moderately Integrated
Kakada,9,31000.0,10618.38029079765,20000.0,50000.0,30000.0,0.967741935483871,0.3425283964773435,0.17472707552964833,0.03609152053094712,0.8258875468658188,117,Moderately Integrated
Guar,19,4773.8421052631575,1574.8546410227445,2800.0,9000.0,6200.0,1.2987442532220546,0.32989248624005985,0.1682813744866933,0.048436110042267146,0.8218834797028823,118,Moderately Integrated
Tender Coconut,65,3073.846153846154,917.7123260921904,600.0,6250.0,5650.0,1.838088088088088,0.2985550610410029,0.1522958482763941,0.06855070710121793,0.8191037568113517,119,Moderately Integrated
Pointed gourd (Parval),61,3710.1639344262294,1120.356329928532,1400.0,8200.0,6800.0,1.8328031106398022,0.3019694950761773,0.15403758437678888,0.06835360613340151,0.8180687228141992,120,Moderately Integrated
Sponge gourd,44,1863.5227272727273,580.1058238919163,800.0,4000.0,3200.0,1.7171778766997987,0.31129527716622135,0.15879475677002125,0.06404141261193894,0.8177710351055573,121,Moderately Integrated
Knool Khol,78,4121.794871794872,1392.3396581329298,1000.0,7000.0,6000.0,1.4556765163297045,0.33779935718310583,0.17231474646600062,0.05428883150471548,0.815259320908221,122,Moderately Integrated
Custard Apple (Sharifa),37,4554.054054054054,1602.0116858005254,2000.0,8000.0,6000.0,1.317507418397626,0.3517770467336465,0.17944490222226603,0.04913587424213216,0.8139472952505358,123,Moderately Integrated
Sweet Pumpkin,23,1560.8695652173913,556.1549248143515,500.0,2600.0,2100.0,1.3454038997214486,0.3563109546164369,0.18175769284992774,0.05017626155152008,0.8117318273655862,124,Moderately Integrated
Peas(Dry),11,5427.5,1965.0277583049788,3400.0,11000.0,7600.0,1.4002763703362506,0.36205025486964143,0.18468536588125062,0.05222270681462393,0.8084675183827308,125,Moderately Integrated
Raddish,253,2876.905138339921,987.0766034732491,17.0,5000.0,4983.0,1.7320696235661674,0.3431036325524547,0.17502050906151603,0.06459679392596712,0.8067005821796741,126,Moderately Integrated
Beans,148,6476.898648648648,1829.74638865633,750.0,18100.0,17350.0,2.678751195777926,0.2825034770365122,0.14410777873364408,0.0999028772390421,0.8038516351920674,127,Moderately Integrated
