commodity,count,mean_modal_price,median_modal_price,std_modal_price,mean_price_range,mean_price_spread_ratio
"Sesamum(Sesame,Gingelly,Til)",44,12114.89,11750.0,1721.91,2448.75,0.2
Snakeguard,212,2745.42,2600.0,1143.91,433.25,0.17
Soanf,7,6245.29,6350.0,394.71,1347.14,0.22
Soyabean,115,4295.16,4330.0,343.62,688.96,0.16
Spinach,49,2112.22,1840.0,1243.91,512.37,0.26
Sponge gourd,44,1863.52,1837.5,580.11,324.55,0.17
Squash(Chappal Kadoo),9,1422.22,1300.0,804.33,400.0,0.25
Sugar,8,4121.88,4110.0,34.01,75.0,0.02
Sunflower,5,4849.0,5100.0,987.17,427.4,0.09
Surat Beans (Papadi),1,5750.0,5750.0,,3500.0,0.61
Suva (Dill Seed),6,7566.25,7250.0,966.82,1378.33,0.19
Suvarna Gadde,1,4500.0,4500.0,,1500.0,0.33
Sweet Potato,50,4840.0,5000.0,1258.28,550.0,0.12
Sweet Pumpkin,23,1560.87,1600.0,556.15,243.48,0.19
Tamarind Fruit,30,10267.0,10000.0,2742.96,1033.67,0.1
Tamarind Seed,1,3100.0,3100.0,,200.0,0.06
Tapioca,107,3266.82,3000.0,615.79,463.55,0.15
Taramira,2,5050.0,5050.0,282.84,350.0,0.07
Tender Coconut,65,3073.85,3000.0,917.71,566.15,0.19
Thondekai,82,3611.61,4000.0,879.93,429.27,0.12
Tinda,11,3240.91,2500.0,1483.38,581.82,0.19
Tomato,556,4173.88,4000.0,1394.05,616.23,0.17
Tube Flower,6,44833.33,42500.0,15105.19,5666.67,0.13
Tube Rose(Loose),9,7111.11,7000.0,1900.29,1000.0,0.14
Turmeric,7,11883.71,12137.0,1950.49,1162.71,0.09
Turmeric (raw),2,6075.0,6075.0,3075.91,5000.0,0.84
Turnip,17,4829.41,4500.0,1455.92,752.94,0.17
Water Melon,37,2255.41,2000.0,943.01,562.16,0.31
Wheat,346,2660.77,2645.0,207.94,213.58,0.08
White Peas,19,4770.53,4975.0,1174.74,475.53,0.08
White Pumpkin,3,1127.67,1300.0,372.69,133.33,0.15
Wood,6,513.33,495.0,66.23,60.83,0.12
Yam (Ratalu),73,7975.34,8000.0,2181.35,931.51,0.11
buttery,3,5500.0,5000.0,1322.88,200.0,0.04
gulli,2,3800.0,3800.0,424.26,0.0,0.0
