market,state,count,num_commodities,mean_modal_price,std_modal_price,mean_price_range,mean_price_spread_ratio
Khetia,Madhya Pradesh,1,1,6900.0,,825.0,0.12
Khurai,Madhya Pradesh,6,6,5605.5,1527.22,822.83,0.17
Khurai(F&V),Madhya Pradesh,8,8,2762.5,1379.38,762.5,0.32
Khurja,Uttar Pradesh,21,21,3605.24,2546.14,230.24,0.07
Kicchha,Uttrakhand,8,8,1637.5,1162.43,200.0,0.16
Kiratpur,Uttar Pradesh,6,6,2233.33,861.2,100.0,0.05
Kishunpur,Uttar Pradesh,1,1,2410.0,,20.0,0.01
Kochas (Balthari),Bihar,1,1,4600.0,,200.0,0.04
Kodad,Telangana,1,1,2203.0,,0.0,0.0
Kodinar,Gujarat,4,4,5030.0,1543.07,1587.5,0.3
Kodungalloor,Kerala,20,20,4385.0,2762.01,335.0,0.1
Koduvayoor,Kerala,39,36,5410.26,4930.83,420.51,0.11
Kohima,Nagaland,5,5,13280.0,7232.7,560.0,0.04
Kolaras,Madhya Pradesh,1,1,6130.0,,1245.0,0.2
Kolhapur,Maharashtra,10,10,3265.0,2017.98,3355.0,0.97
