commodity,risk_index,spatial_volatility,integration_score,number_of_markets,fragmentation,cv,norm_risk_index,norm_fragmentation,norm_spatial_volatility,norm_number_of_markets,norm_inverted_integration,composite_risk,composite_rank,risk_category
Green Chilli,0.2191752907228835,2621.11,0.6815913828693607,476,4.790233964449056,0.5655743212913128,0.3121771961184781,0.17864972172515178,0.1735238020839195,0.8602540834845734,0.47761292569595903,0.3306876968864665,22,Highly Unstable
Pineapple,0.2585968411658763,5180.0,0.618920901896165,47,5.621436044990845,0.7960371243936678,0.36919532448059567,0.20964904691223304,0.34292849014146787,0.08166969147005444,0.5716186471557525,0.32566632332089884,23,Highly Unstable
Banana - Green,0.1477699092962369,2037.15,0.580742706481442,255,10.0726819400668,0.6788276275208586,0.20889862999972214,0.37565635394300856,0.13486424202542305,0.45916515426497273,0.6288859402778371,0.32380593235892624,24,Highly Unstable
Turmeric (raw),0.5135656907198833,3075.91,0.7782190521670671,2,0.7160493827160493,0.5063233741829599,0.7379744929517823,0.026704754697383915,0.20363265870869546,0.0,0.33267142174939945,0.31869578156402967,25,Highly Unstable
Green Peas,0.3056377918431427,8372.86,0.7511294917215618,25,1.633444846544821,0.5301011028694005,0.43723392098052555,0.06091862515575025,0.5543035208428361,0.041742286751361164,0.37330576241765734,0.3174306297894472,26,Highly Unstable
Coriander(Leaves),0.2250945271874888,4095.24,0.6404212189827996,203,5.250221820975598,0.7168409080134786,0.32073859922799436,0.19580477159855963,0.27111476254188127,0.36479128856624315,0.5393681715258006,0.31678007976190886,27,Highly Unstable
Tomato,0.2047511600434118,1394.05,0.7318916870246343,553,5.254102464883108,0.3339926201239139,0.29131457338162264,0.1959494985491295,0.09228947136712612,1.0,0.4021624694630487,0.31516401134465166,28,Highly Unstable
Apple,0.3025874960559142,4055.45,0.7269597342027665,232,2.860336209377292,0.5271747767169597,0.4328220661756231,0.10667501246035707,0.2684805685992695,0.4174228675136116,0.40956039869585037,0.3133878332433688,29,Highly Unstable
Amaranthus,0.1565012501306571,2152.41,0.5784967673698564,193,9.523475577685051,0.7320859671534053,0.22152737511187343,0.35517393814925996,0.1424947319431268,0.3466424682395644,0.6322548489452153,0.3132531176252411,30,Highly Unstable
Lemon,0.2668935899409237,4787.79,0.7539778514089984,260,2.2249734646879182,0.4769943609330336,0.38119548889137883,0.0829794313309831,0.31696324243521595,0.4682395644283121,0.3690332228865024,0.3006750928630092,31,Highly Unstable
Brinjal,0.1980550681726701,1404.28,0.7263885575295141,532,3.671491135202062,0.469990976258652,0.2816295503036339,0.13692668760818008,0.0929667220339499,0.9618874773139745,0.4104171637057289,0.295065203687182,32,Highly Unstable
Betal Leaves,0.3300200593751748,6154.0,0.7632161262807072,20,1.5319492037895586,0.4961902052608818,0.47249968917782925,0.05713338867897024,0.4074096386738597,0.032667876588021776,0.3551758105789392,0.29405834090350635,33,Highly Unstable
Dry Chillies,0.4360504503143761,4259.89,0.8282756718726865,2,0.743801652892562,0.3520570621839328,0.6258588131321107,0.027739763713868448,0.28201498954994936,0.0,0.2575864921909704,0.2897335566067357,34,Highly Unstable
Methi(Leaves),0.2495751610476385,3740.75,0.5761705190519455,12,3.870587931524181,1.1590552518692143,0.35614664148251024,0.14435191725735583,0.24764666978700695,0.018148820326678763,0.6357442214220818,0.2896378209624736,35,Highly Unstable
Orange,0.2876674562377047,4581.97,0.7113044059973331,60,2.4803149606299213,0.6143100994524052,0.4112421755837301,0.09250228293561644,0.30333746215704666,0.10526315789473684,0.43304339100400024,0.2826485402805062,36,Highly Unstable
Lime,0.2425504864366169,5766.73,0.6897838929690315,63,2.2405753576226983,0.717822226586414,0.3459863663494318,0.08356129723813292,0.3817714308790554,0.11070780399274047,0.46532416054645276,0.2819099248714158,37,Moderately Stable
