market,state,avg_price_spread_ratio,avg_composite_risk,n_commodities,market_instability_index,market_rank
Shekhpura,Bihar,0.074074074074074,0.12109335102231997,1,0.0928817848533724,941
Sandi,Uttar Pradesh,0.020498007171530587,0.20046909763444495,15,0.09248644335669634,942
Dhragradhra,Gujarat,0.07703105406424907,0.1145185782800098,7,0.09202606375055336,943
Haliyala,Karnataka,0.0879432624113475,0.09735994186081387,2,0.09170993419113405,944
Khedbrahma,Gujarat,0.0701754385964912,0.12109335102231997,1,0.0905426035668227,945
Bhander,Madhya Pradesh,0.0043431372549018995,0.21926199040588357,2,0.09031067851529458,946
Gandai,Chattisgarh,0.09355643410543919,0.08270998414989744,2,0.08921785412322249,947
Banapura,Madhya Pradesh,0.05539532171620985,0.13882915600710571,2,0.0887688554325682,948
Sattupalli,Telangana,0.0909090909090909,0.08496534601510954,1,0.08853159295149834,949
Mudkhed,Maharashtra,0.0697674418604651,0.11611835331794468,1,0.08830780644345693,950
Aliganj,Uttar Pradesh,0.026083985449630864,0.18141190732406898,3,0.0882151541994061,951
Bhokar,Maharashtra,0.06894938722050707,0.1165570099964825,6,0.08799243633089725,952
Wanaparthy town,Telangana,0.07004830917874395,0.11465386912867863,2,0.08789053315871782,953
Talod,Gujarat,0.09468363105659426,0.07680068488297209,3,0.0875304525871454,954
Nagpur,Maharashtra,0.06757985677712472,0.11742612274220644,7,0.08751836316315742,955
Anakapally,Andhra Pradesh,0.10221197882280501,0.06533289490071172,1,0.0874603452539677,956
Rampurhat,West Bengal,0.03229324020744807,0.17003888058644842,6,0.08739149635904822,957
Amarawati,Maharashtra,0.0711046613763986,0.11149351287341053,11,0.08726020197520337,958
Mandya,Karnataka,0.10124325125694983,0.06533289490071172,1,0.08687910871445459,959
Gorakhpur,Uttar Pradesh,0.02516742802876446,0.178599442015553,18,0.08654023362347987,960
Chopada,Maharashtra,0.06848946461345382,0.11195788137742575,6,0.08587683131904258,961
Pilibhit,Uttar Pradesh,0.022783911926808988,0.1803394814171609,8,0.08580613972294976,962
Malpura,Rajasthan,0.07848444672343341,0.09600478299166722,9,0.08549258123072692,963
Burgampadu,Telangana,0.119047619047619,0.03456894574097246,1,0.08525614972496039,964
Mahuva(Anaval),Gujarat,0.0625,0.11921156001188075,1,0.0851846240047523,965
Bareilly,Uttar Pradesh,0.03206461252917239,0.16359554855672048,10,0.08467698694019163,966
Harappana Halli,Karnataka,0.06521190975046387,0.11293644551223143,3,0.08430172405517089,967
Nizar(Pumkitalov),Gujarat,0.0673267326732673,0.10975453770651819,1,0.08429785468656767,968
Venkatagiri,Andhra Pradesh,0.0833333333333333,0.08496534601510954,1,0.0839861384060438,969
Jalgaon,Maharashtra,0.07429977932439313,0.09833011432312849,4,0.08391191332388728,970
Lakshar,Uttrakhand,0.08295459511427694,0.08450098944101689,2,0.08357315284497291,971
Rajnagar,Madhya Pradesh,0.0416666666666666,0.14612034347333053,1,0.08344813738933218,972
Sonpeth,Maharashtra,0.07264917758294256,0.09910148044188827,5,0.08323009872652085,973
Vav,Gujarat,0.08356366908787037,0.08113420967462324,3,0.08259188532257153,974
Vyra,Gujarat,0.07269755237234908,0.09691555634761922,3,0.08238475396245715,975
Lalsot,Rajasthan,0.08167950742359785,0.08343972249412471,4,0.0823835934518086,976
Sonkatch,Madhya Pradesh,0.0553697510219249,0.12109335102231997,1,0.08165919102208294,977
Nalkehda,Madhya Pradesh,0.0822644847412649,0.08045462228468535,1,0.08154053975863307,978
Sabalgarh,Madhya Pradesh,0.0540044085231447,0.12109335102231997,1,0.08083998552281481,979
