,commodity,n_markets,mean_modal,min_modal,max_modal,std_modal,price_gap,price_gap_ratio,fragmentation_rank
87,Thondekai,82,3611.609756097561,1600.0,6000.0,879.927406603123,4400.0,1.2182933088414059,88
88,Tamarind Fruit,30,10267.0,1510.0,14000.0,2742.962342758847,12490.0,1.2165189441901236,89
89,Rice,146,3453.135802469136,2100.0,6250.0,629.1758832013089,4150.0,1.201806195120556,90
90,Sweet Potato,50,4840.0,1200.0,7000.0,1258.2787076488453,5800.0,1.1983471074380165,91
91,Chow Chow,125,3187.2,1200.0,5000.0,707.6740638494259,3800.0,1.192269076305221,92
92,Seetapal,6,4225.0,2500.0,7500.0,1730.2456472998279,5000.0,1.183431952662722,93
93,White Peas,19,4770.526315789473,3550.0,8880.0,1174.7421640712414,5330.0,1.117277140335393,94
94,Fig(Anjura/Anjeer),4,11750.0,7000.0,20000.0,5678.908345800273,13000.0,1.1063829787234043,95
95,Maize,165,2379.4210526315787,1400.0,4000.0,486.47754125181854,2600.0,1.092702780419828,96
96,Papaya (Raw),8,2137.5,1150.0,3400.0,890.7260281045217,2250.0,1.0526315789473684,97
97,Cowpea (Lobia/Karamani),7,6585.714285714285,3700.0,10500.0,2196.5340663786446,6800.0,1.032537960954447,98
98,Tube Flower,6,44833.333333333336,24000.0,70000.0,15105.186747162932,46000.0,1.0260223048327137,99
99,Green Gram (Moong)(Whole),58,7686.610169491525,5560.0,13300.0,1498.026264869754,7740.0,1.0069458225838461,100
100,Paddy(Dhan)(Common),150,2202.036809815951,1560.0,3775.0,294.859369902653,2215.0,1.0058869089409692,101
101,Methi Seeds,7,5317.857142857143,3005.0,8350.0,1695.739408888389,5345.0,1.0051040967092009,102
102,Corriander seed,23,6445.833333333333,4575.0,11000.0,1116.7097114783883,6425.0,0.9967679379444085,103
103,Plum,3,4716.666666666667,2850.0,7500.0,2456.793302932368,4650.0,0.9858657243816253,104
104,Kabuli Chana(Chickpeas-White),10,10815.9,5200.0,15800.0,3565.1144114413305,10600.0,0.9800386468070156,105
105,Tapioca,107,3266.822429906542,1800.0,5000.0,615.7884930488702,3200.0,0.9795451294521528,106
106,Kakada,9,31000.0,20000.0,50000.0,10618.38029079765,30000.0,0.967741935483871,107
107,Jasmine,23,40652.17391304348,25000.0,63000.0,9938.944043290121,38000.0,0.93475935828877,108
